Feature_1,Feature_2,Interaction_Strength,Type,WinRate_High_High,WinRate_High_Low,WinRate_Low_High,WinRate_Low_Low
total_count,recent_14,3.0,synergistic,0.8571,0,0,0
total_count,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
recent_14,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
total_count,recent_9,1.0215,synergistic,0.8688,0.8504,0,0
recent_9,recent_14,1.0215,synergistic,0.8688,0,0.8504,0
recent_9,bonus_hit_contribution,1.0215,synergistic,0.8688,0,0.8504,0
total_count,recent_4,1.013,synergistic,0.8628,0.8516,0,0
total_count,freshness_bin,1.013,synergistic,0.8628,0.8516,0,0
recent_4,recent_14,1.013,synergistic,0.8628,0,0.8516,0
recent_4,freshness_bin,1.013,synergistic,0.8628,0,0,0.8516
recent_4,bonus_hit_contribution,1.013,synergistic,0.8628,0,0.8516,0
recent_14,freshness_bin,1.013,synergistic,0.8628,0.8516,0,0
freshness_bin,bonus_hit_contribution,1.013,synergistic,0.8628,0,0.8516,0
total_count,days_since_last,0.9985,synergistic,0.8562,0.8575,0,0
days_since_last,recent_14,0.9985,synergistic,0.8562,0,0.8575,0
days_since_last,bonus_hit_contribution,0.9985,synergistic,0.8562,0,0.8575,0
days_since_last,recent_4,0.1218,synergistic,1.0,0.8554,0.8624,0.8479
days_since_last,freshness_bin,0.1218,synergistic,1.0,0.8554,0.8624,0.8479
days_since_last,recent_9,0.0372,neutral,0.9,0.8556,0.8685,0.8469
recent_4,recent_9,0.0274,neutral,0.8751,0.8422,0.8363,0.8537
recent_9,freshness_bin,0.0274,neutral,0.8751,0.8363,0.8422,0.8537
